日期,城市,花粉等级,等级描述,颜色代码,城市ID,城市代码
2025-01-01,北京,暂无,,#C4A39F,101010100,beijing
2025-01-02,北京,暂无,,#C4A39F,101010100,beijing
2025-01-03,北京,暂无,,#C4A39F,101010100,beijing
2025-01-04,北京,暂无,,#C4A39F,101010100,beijing
2025-01-05,北京,暂无,,#C4A39F,101010100,beijing
2025-01-06,北京,暂无,,#C4A39F,101010100,beijing
2025-01-07,北京,暂无,,#C4A39F,101010100,beijing
2025-01-08,北京,暂无,,#C4A39F,101010100,beijing
2025-01-09,北京,暂无,,#C4A39F,101010100,beijing
2025-01-10,北京,暂无,,#C4A39F,101010100,beijing
2025-01-11,北京,暂无,,#C4A39F,101010100,beijing
2025-01-12,北京,暂无,,#C4A39F,101010100,beijing
2025-01-13,北京,暂无,,#C4A39F,101010100,beijing
2025-01-14,北京,暂无,,#C4A39F,101010100,beijing
2025-01-15,北京,暂无,,#C4A39F,101010100,beijing
2025-01-16,北京,暂无,,#C4A39F,101010100,beijing
2025-01-30,北京,暂无,,#C4A39F,101010100,beijing
2025-01-31,北京,暂无,,#C4A39F,101010100,beijing
2025-02-01,北京,暂无,,#C4A39F,101010100,beijing
2025-02-02,北京,暂无,,#C4A39F,101010100,beijing
2025-02-03,北京,暂无,,#C4A39F,101010100,beijing
2025-02-04,北京,暂无,,#C4A39F,101010100,beijing
2025-02-05,北京,暂无,,#C4A39F,101010100,beijing
2025-02-06,北京,暂无,,#C4A39F,101010100,beijing
2025-02-07,北京,暂无,,#C4A39F,101010100,beijing
2025-02-08,北京,暂无,,#C4A39F,101010100,beijing
2025-02-09,北京,暂无,,#C4A39F,101010100,beijing
2025-02-10,上海,暂无,,#C4A39F,101020100,shanghai
2025-02-10,乌兰浩特,暂无,,#C4A39F,101081101,wulanhaote
2025-02-10,乌海市,暂无,,#C4A39F,101080301,wuhai
2025-02-10,乌鲁木齐,暂无,,#C4A39F,101130101,wulumuqi
2025-02-10,保定,暂无,,#C4A39F,101090201,baoding
2025-02-10,六盘水,暂无,,#C4A39F,101260803,liupanshui
2025-02-10,兰州,暂无,,#C4A39F,101160101,lanzhou
2025-02-10,包头,暂无,,#C4A39F,101080201,baotou
2025-02-10,北京,暂无,,#C4A39F,101010100,beijing
2025-02-10,南充,暂无,,#C4A39F,101270501,nanchong
