日期,颜色代码,花粉等级,城市ID,等级描述,城市代码,城市
2025-03-23,#FF2319,很高,101010100,极易引发过敏，减少外出，持续规范用药。,beijing,北京
2025-03-22,#FF2319,很高,101010100,极易引发过敏，减少外出，持续规范用药。,beijing,北京
2025-03-21,#FF2319,很高,101010100,极易引发过敏，减少外出，持续规范用药。,beijing,北京
2025-03-20,#FF2319,很高,101010100,极易引发过敏，减少外出，持续规范用药。,beijing,北京
2025-03-19,#FF2319,很高,101010100,极易引发过敏，减少外出，持续规范用药。,beijing,北京
2025-03-18,#FFAF13,高,101010100,易引发过敏，加强防护，规范用药。,beijing,北京
2025-03-17,#FFAF13,高,101010100,易引发过敏，加强防护，规范用药。,beijing,北京
2025-03-16,#FF2319,很高,101010100,极易引发过敏，减少外出，持续规范用药。,beijing,北京
2025-03-23,#F5EE32,中,101170101,易引发过敏，加强防护，对症用药。,yinchuan,银川
2025-03-22,#FFAF13,高,101170101,易引发过敏，加强防护，规范用药。,yinchuan,银川
2025-03-21,#FFAF13,高,101170101,易引发过敏，加强防护，规范用药。,yinchuan,银川
2025-03-20,#81CB31,很低,101170101,不易引发过敏反应。,yinchuan,银川
2025-03-19,#81CB31,很低,101170101,不易引发过敏反应。,yinchuan,银川
2025-03-18,#81CB31,很低,101170101,不易引发过敏反应。,yinchuan,银川
2025-03-17,#81CB31,很低,101170101,不易引发过敏反应。,yinchuan,银川
2025-03-16,#81CB31,很低,101170101,不易引发过敏反应。,yinchuan,银川
2025-03-23,#A1FF3D,低,101160101,易引发轻度过敏，适当防护对症用药。,lanzhou,兰州
2025-03-22,#F5EE32,中,101160101,易引发过敏，加强防护，对症用药。,lanzhou,兰州
2025-03-21,#F5EE32,中,101160101,易引发过敏，加强防护，对症用药。,lanzhou,兰州
2025-03-20,#A1FF3D,低,101160101,易引发轻度过敏，适当防护对症用药。,lanzhou,兰州
2025-03-19,#FF2319,很高,101160101,极易引发过敏，减少外出，持续规范用药。,lanzhou,兰州
2025-03-18,#A1FF3D,低,101160101,易引发轻度过敏，适当防护对症用药。,lanzhou,兰州
2025-03-17,#A1FF3D,低,101160101,易引发轻度过敏，适当防护对症用药。,lanzhou,兰州
2025-03-16,#81CB31,很低,101160101,不易引发过敏反应。,lanzhou,兰州
2025-03-23,#81CB31,很低,101060101,不易引发过敏反应。,changchun,长春
2025-03-22,#81CB31,很低,101060101,不易引发过敏反应。,changchun,长春
2025-03-21,#81CB31,很低,101060101,不易引发过敏反应。,changchun,长春
2025-03-20,#81CB31,很低,101060101,不易引发过敏反应。,changchun,长春
2025-03-19,#81CB31,很低,101060101,不易引发过敏反应。,changchun,长春
2025-03-18,#81CB31,很低,101060101,不易引发过敏反应。,changchun,长春
2025-03-17,#999999,未检测到花粉,101060101,,changchun,长春
2025-03-16,#81CB31,很低,101060101,不易引发过敏反应。,changchun,长春
2025-03-23,#81CB31,很低,101110101,不易引发过敏反应。,xian,西安
2025-03-22,#F5EE32,中,101110101,易引发过敏，加强防护，对症用药。,xian,西安
2025-03-21,#F5EE32,中,101110101,易引发过敏，加强防护，对症用药。,xian,西安
2025-03-20,#81CB31,很低,101110101,不易引发过敏反应。,xian,西安
2025-03-19,#81CB31,很低,101110101,不易引发过敏反应。,xian,西安
2025-03-18,#81CB31,很低,101110101,不易引发过敏反应。,xian,西安
2025-03-17,#F5EE32,中,101110101,易引发过敏，加强防护，对症用药。,xian,西安
2025-03-16,#81CB31,很低,101110101,不易引发过敏反应。,xian,西安
2025-03-23,#81CB31,很低,101100101,不易引发过敏反应。,taiyuan,太原
2025-03-22,#FF2319,很高,101100101,极易引发过敏，减少外出，持续规范用药。,taiyuan,太原
2025-03-21,#FF2319,很高,101100101,极易引发过敏，减少外出，持续规范用药。,taiyuan,太原
2025-03-20,#FF2319,很高,101100101,极易引发过敏，减少外出，持续规范用药。,taiyuan,太原
2025-03-19,#F5EE32,中,101100101,易引发过敏，加强防护，对症用药。,taiyuan,太原
2025-03-18,#A1FF3D,低,101100101,易引发轻度过敏，适当防护对症用药。,taiyuan,太原
2025-03-17,#A1FF3D,低,101100101,易引发轻度过敏，适当防护对症用药。,taiyuan,太原
2025-03-16,#81CB31,很低,101100101,不易引发过敏反应。,taiyuan,太原
2025-03-23,#81CB31,很低,101070101,不易引发过敏反应。,shenyang,沈阳
2025-03-22,#81CB31,很低,101070101,不易引发过敏反应。,shenyang,沈阳
2025-03-21,#81CB31,很低,101070101,不易引发过敏反应。,shenyang,沈阳
2025-03-20,#81CB31,很低,101070101,不易引发过敏反应。,shenyang,沈阳
2025-03-19,#81CB31,很低,101070101,不易引发过敏反应。,shenyang,沈阳
2025-03-18,#81CB31,很低,101070101,不易引发过敏反应。,shenyang,沈阳
2025-03-17,#81CB31,很低,101070101,不易引发过敏反应。,shenyang,沈阳
2025-03-16,#81CB31,很低,101070101,不易引发过敏反应。,shenyang,沈阳
2025-03-23,#81CB31,很低,101130101,不易引发过敏反应。,wulumuqi,乌鲁木齐
2025-03-22,#81CB31,很低,101130101,不易引发过敏反应。,wulumuqi,乌鲁木齐
2025-03-21,#81CB31,很低,101130101,不易引发过敏反应。,wulumuqi,乌鲁木齐
2025-03-20,#81CB31,很低,101130101,不易引发过敏反应。,wulumuqi,乌鲁木齐
2025-03-19,#81CB31,很低,101130101,不易引发过敏反应。,wulumuqi,乌鲁木齐
2025-03-18,#81CB31,很低,101130101,不易引发过敏反应。,wulumuqi,乌鲁木齐
2025-03-17,#81CB31,很低,101130101,不易引发过敏反应。,wulumuqi,乌鲁木齐
2025-03-16,#81CB31,很低,101130101,不易引发过敏反应。,wulumuqi,乌鲁木齐
2025-03-23,#81CB31,很低,101080101,不易引发过敏反应。,huhehaote,呼和浩特
2025-03-22,#81CB31,很低,101080101,不易引发过敏反应。,huhehaote,呼和浩特
2025-03-21,#81CB31,很低,101080101,不易引发过敏反应。,huhehaote,呼和浩特
2025-03-20,#C4A39F,暂无,101080101,,huhehaote,呼和浩特
2025-03-19,#81CB31,很低,101080101,不易引发过敏反应。,huhehaote,呼和浩特
2025-03-18,#81CB31,很低,101080101,不易引发过敏反应。,huhehaote,呼和浩特
2025-03-17,#81CB31,很低,101080101,不易引发过敏反应。,huhehaote,呼和浩特
2025-03-16,#81CB31,很低,101080101,不易引发过敏反应。,huhehaote,呼和浩特
2025-03-23,#81CB31,很低,101121701,不易引发过敏反应。,liaocheng,聊城
2025-03-22,#A1FF3D,低,101121701,易引发轻度过敏，适当防护对症用药。,liaocheng,聊城
2025-03-21,#A1FF3D,低,101121701,易引发轻度过敏，适当防护对症用药。,liaocheng,聊城
2025-03-20,#A1FF3D,低,101121701,易引发轻度过敏，适当防护对症用药。,liaocheng,聊城
2025-03-19,#81CB31,很低,101121701,不易引发过敏反应。,liaocheng,聊城
2025-03-18,#81CB31,很低,101121701,不易引发过敏反应。,liaocheng,聊城
2025-03-17,#81CB31,很低,101121701,不易引发过敏反应。,liaocheng,聊城
2025-03-16,#81CB31,很低,101121701,不易引发过敏反应。,liaocheng,聊城
2025-03-23,#81CB31,很低,101120301,不易引发过敏反应。,zibo,淄博
2025-03-22,#A1FF3D,低,101120301,易引发轻度过敏，适当防护对症用药。,zibo,淄博
2025-03-21,#A1FF3D,低,101120301,易引发轻度过敏，适当防护对症用药。,zibo,淄博
2025-03-20,#F5EE32,中,101120301,易引发过敏，加强防护，对症用药。,zibo,淄博
2025-03-19,#81CB31,很低,101120301,不易引发过敏反应。,zibo,淄博
2025-03-18,#A1FF3D,低,101120301,易引发轻度过敏，适当防护对症用药。,zibo,淄博
2025-03-17,#81CB31,很低,101120301,不易引发过敏反应。,zibo,淄博
2025-03-16,#81CB31,很低,101120301,不易引发过敏反应。,zibo,淄博
2025-03-23,#81CB31,很低,101090402,不易引发过敏反应。,chengde,承德
