日期,城市,城市ID,城市代码,花粉等级,花粉指数,等级描述,颜色代码
2025-03-13,大连,101070201,dalian,较低,18,对极敏感人群可能引发过敏反应,#A1FF3D
2025-03-14,大连,101070201,dalian,较高,67,易引发过敏，加强防护，规范用药,#FFAF13
2025-03-15,大连,101070201,dalian,未检测,3,无花粉,#999999
2025-03-16,大连,101070201,dalian,很低,23,不易引发过敏反应,#81CB31
2025-03-17,大连,101070201,dalian,未检测,84,无花粉,#999999
2025-03-18,大连,101070201,dalian,很高,36,极易引发过敏，减少外出，持续规范用药,#FF2319
2025-03-19,大连,101070201,dalian,极高,32,极易引发过敏，建议足不出户，规范用药,#AD075D
2025-03-20,大连,101070201,dalian,很高,34,极易引发过敏，减少外出，持续规范用药,#FF2319
2025-03-21,大连,101070201,dalian,极高,65,极易引发过敏，建议足不出户，规范用药,#AD075D
2025-03-22,大连,101070201,dalian,极高,13,极易引发过敏，建议足不出户，规范用药,#AD075D
2025-03-13,泊头,101090711,botou,极高,98,极易引发过敏，建议足不出户，规范用药,#AD075D
2025-03-14,泊头,101090711,botou,未检测,93,无花粉,#999999
2025-03-15,泊头,101090711,botou,很高,66,极易引发过敏，减少外出，持续规范用药,#FF2319
2025-03-16,泊头,101090711,botou,偏高,44,易引发过敏，加强防护，对症用药,#F5EE32
2025-03-17,泊头,101090711,botou,很低,84,不易引发过敏反应,#81CB31
2025-03-18,泊头,101090711,botou,较高,0,易引发过敏，加强防护，规范用药,#FFAF13
2025-03-19,泊头,101090711,botou,较低,75,对极敏感人群可能引发过敏反应,#A1FF3D
2025-03-20,泊头,101090711,botou,偏高,63,易引发过敏，加强防护，对症用药,#F5EE32
2025-03-21,泊头,101090711,botou,很高,34,极易引发过敏，减少外出，持续规范用药,#FF2319
2025-03-22,泊头,101090711,botou,未检测,12,无花粉,#999999
2025-03-13,呼和浩特,101080101,huhehaote,很高,0,极易引发过敏，减少外出，持续规范用药,#FF2319
2025-03-14,呼和浩特,101080101,huhehaote,很高,94,极易引发过敏，减少外出，持续规范用药,#FF2319
2025-03-15,呼和浩特,101080101,huhehaote,偏高,80,易引发过敏，加强防护，对症用药,#F5EE32
2025-03-16,呼和浩特,101080101,huhehaote,较高,73,易引发过敏，加强防护，规范用药,#FFAF13
2025-03-17,呼和浩特,101080101,huhehaote,偏高,40,易引发过敏，加强防护，对症用药,#F5EE32
2025-03-18,呼和浩特,101080101,huhehaote,较低,7,对极敏感人群可能引发过敏反应,#A1FF3D
2025-03-19,呼和浩特,101080101,huhehaote,较高,24,易引发过敏，加强防护，规范用药,#FFAF13
2025-03-20,呼和浩特,101080101,huhehaote,极高,22,极易引发过敏，建议足不出户，规范用药,#AD075D
2025-03-21,呼和浩特,101080101,huhehaote,很高,7,极易引发过敏，减少外出，持续规范用药,#FF2319
2025-03-22,呼和浩特,101080101,huhehaote,较低,69,对极敏感人群可能引发过敏反应,#A1FF3D
