日期,城市,花粉等级,等级描述,颜色代码
2025-03-22,北京,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-22,沈阳,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-22,承德,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-22,青岛,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-22,杭州,很低,不易引发过敏反应。,#81CB31
2025-03-22,绍兴,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-22,嘉兴,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-22,苏州,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-22,济南,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-22,拉萨,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-22,台州,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-22,东莞,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-22,广州,很低,不易引发过敏反应。,#81CB31
2025-03-22,长沙,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-22,长春,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-21,北京,很低,不易引发过敏反应。,#81CB31
2025-03-21,沈阳,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-21,承德,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-21,青岛,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-21,杭州,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-21,绍兴,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-21,嘉兴,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-21,苏州,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-21,济南,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-21,拉萨,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-21,台州,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-21,东莞,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
