日期,城市,花粉等级,等级描述,颜色代码
2023-05-01,北京,中,中等花粉浓度,#F5EE32
2023-05-01,上海,低,低花粉浓度,#A1FF3D
2023-05-01,广州,很低,很低花粉浓度,#81CB31
2023-05-01,深圳,很低,很低花粉浓度,#81CB31
2023-05-01,成都,高,高花粉浓度,#FF642E
2023-05-01,武汉,较高,较高花粉浓度,#FFAF13
2023-05-01,西安,中,中等花粉浓度,#F5EE32
2023-05-01,南京,低,低花粉浓度,#A1FF3D
2023-05-01,重庆,偏高,偏高花粉浓度,#FFD429
2023-05-01,杭州,低,低花粉浓度,#A1FF3D
2023-05-02,北京,高,高花粉浓度,#FF642E
2023-05-02,上海,中,中等花粉浓度,#F5EE32
2023-05-02,广州,低,低花粉浓度,#A1FF3D
2023-05-02,深圳,低,低花粉浓度,#A1FF3D
2023-05-02,成都,很高,很高花粉浓度,#FF2319
2023-05-02,武汉,高,高花粉浓度,#FF642E
2023-05-02,西安,较高,较高花粉浓度,#FFAF13
2023-05-02,南京,中,中等花粉浓度,#F5EE32
2023-05-02,重庆,高,高花粉浓度,#FF642E
2023-05-02,杭州,中,中等花粉浓度,#F5EE32
2023-05-03,北京,较高,较高花粉浓度,#FFAF13
2023-05-03,上海,高,高花粉浓度,#FF642E
2023-05-03,广州,中,中等花粉浓度,#F5EE32
2023-05-03,深圳,中,中等花粉浓度,#F5EE32
2023-05-03,成都,极高,极高花粉浓度,#CC0000
2023-05-03,武汉,很高,很高花粉浓度,#FF2319
2023-05-03,西安,高,高花粉浓度,#FF642E
2023-05-03,南京,较高,较高花粉浓度,#FFAF13
2023-05-03,重庆,很高,很高花粉浓度,#FF2319
2023-05-03,杭州,高,高花粉浓度,#FF642E 
