日期,城市,花粉等级,等级描述,颜色代码,城市ID,城市代码
2025-03-16,上海,暂无,,#C4A39F,10100001,上海city
2025-03-16,榆林,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100002,榆林city
2025-03-16,武汉,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100003,武汉city
2025-03-16,温州,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100004,温州city
2025-03-16,惠州,暂无,,#C4A39F,10100005,惠州city
2025-03-16,嘉兴,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100006,嘉兴city
2025-03-16,淄博,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100007,淄博city
2025-03-16,沧州,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100008,沧州city
2025-03-16,海口,很低,不易引发过敏反应。,#81CB31,10100009,海口city
2025-03-16,西安,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100010,西安city
2025-03-16,呼和浩特,暂无,,#C4A39F,10100011,呼和浩特
2025-03-16,无锡,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100012,无锡city
2025-03-16,延安,很低,不易引发过敏反应。,#81CB31,10100013,延安city
2025-03-16,杭州,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100014,杭州city
2025-03-16,哈尔滨,很低,不易引发过敏反应。,#81CB31,10100015,哈尔滨
2025-03-17,上海,暂无,,#C4A39F,10100001,上海city
2025-03-17,榆林,暂无,,#C4A39F,10100002,榆林city
2025-03-17,武汉,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100003,武汉city
2025-03-17,温州,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100004,温州city
2025-03-17,惠州,很低,不易引发过敏反应。,#81CB31,10100005,惠州city
2025-03-17,嘉兴,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100006,嘉兴city
2025-03-17,淄博,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100007,淄博city
2025-03-17,沧州,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100008,沧州city
2025-03-17,海口,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100009,海口city
2025-03-17,西安,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100010,西安city
2025-03-17,呼和浩特,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100011,呼和浩特
2025-03-17,无锡,很低,不易引发过敏反应。,#81CB31,10100012,无锡city
2025-03-17,延安,很低,不易引发过敏反应。,#81CB31,10100013,延安city
2025-03-17,杭州,高,易引发过敏，加强防护，规范用药。,#FFAF13,10100014,杭州city
2025-03-17,哈尔滨,中,易引发过敏，加强防护，对症用药。,#F5EE32,10100015,哈尔滨
2025-03-18,上海,偏高,易引发过敏，加强防护，对症用药。,#F5EE32,10100001,上海city
2025-03-18,榆林,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319,10100002,榆林city
2025-03-18,武汉,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D,10100003,武汉city
