日期,城市,花粉等级,等级描述,颜色代码
2025-03-22,西安,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-22,哈尔滨,很低,不易引发过敏反应。,#81CB31
2025-03-22,佛山,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-22,三亚,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-22,聊城,很低,不易引发过敏反应。,#81CB31
2025-03-22,烟台,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-22,广州,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-22,南京,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-22,嘉兴,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-22,银川,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-22,北京,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-22,贵阳,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-22,长春,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-22,南宁,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-22,福州,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-21,西安,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-21,哈尔滨,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-21,佛山,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-21,三亚,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-21,聊城,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-21,烟台,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-21,广州,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-21,南京,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-21,嘉兴,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-21,银川,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-21,北京,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-21,贵阳,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-21,长春,很低,不易引发过敏反应。,#81CB31
2025-03-21,南宁,很低,不易引发过敏反应。,#81CB31
2025-03-21,福州,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-20,西安,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-20,哈尔滨,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-20,佛山,很低,不易引发过敏反应。,#81CB31
2025-03-20,三亚,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-20,聊城,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-20,烟台,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-20,广州,很低,不易引发过敏反应。,#81CB31
2025-03-20,南京,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-20,嘉兴,很低,不易引发过敏反应。,#81CB31
2025-03-20,银川,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-20,北京,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-20,贵阳,很低,不易引发过敏反应。,#81CB31
2025-03-20,长春,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-20,南宁,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-20,福州,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-19,西安,很低,不易引发过敏反应。,#81CB31
2025-03-19,哈尔滨,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-19,佛山,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-19,三亚,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-19,聊城,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-19,烟台,很低,不易引发过敏反应。,#81CB31
2025-03-19,广州,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-19,南京,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-19,嘉兴,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-19,银川,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-19,北京,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-19,贵阳,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-19,长春,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-19,南宁,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-19,福州,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-18,西安,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-18,哈尔滨,中,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-18,佛山,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-18,三亚,偏高,易引发过敏，加强防护，对症用药。,#F5EE32
2025-03-18,聊城,很低,不易引发过敏反应。,#81CB31
2025-03-18,烟台,很低,不易引发过敏反应。,#81CB31
2025-03-18,广州,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-18,南京,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-18,嘉兴,高,易引发过敏，加强防护，规范用药。,#FFAF13
2025-03-18,银川,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-18,北京,低,易引发轻度过敏，适当防护对症用药。,#A1FF3D
2025-03-18,贵阳,很低,不易引发过敏反应。,#81CB31
2025-03-18,长春,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-18,南宁,很高,极易引发过敏，减少外出，持续规范用药。,#FF2319
2025-03-18,福州,中,易引发过敏，加强防护，对症用药。,#F5EE32
