city,city_id,cityCode,addTime,week,level,levelCode,color,elenum,levelMsg,eletype,uploadUserName,createDate
北京,101010100,beijing,2025-03-23,星期日,很高,5,#FF2319,,极易引发过敏，减少外出，持续规范用药。,花粉,,
北京,101010100,beijing,2025-03-22,星期六,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-21T23:30:00
北京,101010100,beijing,2025-03-21,星期五,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-21T23:30:00
北京,101010100,beijing,2025-03-20,星期四,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-20T23:30:00
北京,101010100,beijing,2025-03-19,星期三,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-19T23:30:00
北京,101010100,beijing,2025-03-18,星期二,高,4,#FFAF13,1.0,易引发过敏，加强防护，规范用药。,花粉,北京,2025-03-18T23:30:00
北京,101010100,beijing,2025-03-17,星期一,高,4,#FFAF13,1.0,易引发过敏，加强防护，规范用药。,花粉,北京,2025-03-17T23:30:00
北京,101010100,beijing,2025-03-16,星期日,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-16T23:30:00
北京,101010100,beijing,2025-03-15,星期六,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-15T23:30:00
北京,101010100,beijing,2025-03-14,星期五,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-14T23:30:00
北京,101010100,beijing,2025-03-13,星期四,暂无,-1,#C4A39F,1.0,,花粉,,2025-03-13T23:30:00
北京,101010100,beijing,2025-03-12,星期三,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-12T23:30:00
北京,101010100,beijing,2025-03-11,星期二,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-11T23:30:00
北京,101010100,beijing,2025-03-10,星期一,很高,5,#FF2319,1.0,极易引发过敏，减少外出，持续规范用药。,花粉,北京,2025-03-10T23:30:00
北京,101010100,beijing,2025-03-09,星期日,高,4,#FFAF13,1.0,易引发过敏，加强防护，规范用药。,花粉,北京,2025-03-09T23:30:00
北京,101010100,beijing,2025-03-08,星期六,中,3,#F5EE32,1.0,易引发过敏，加强防护，对症用药。,花粉,北京,2025-03-08T23:30:00
北京,101010100,beijing,2025-03-07,星期五,中,3,#F5EE32,1.0,易引发过敏，加强防护，对症用药。,花粉,北京,2025-03-07T23:30:00
北京,101010100,beijing,2025-03-06,星期四,低,2,#A1FF3D,1.0,易引发轻度过敏，适当防护对症用药。,花粉,北京,2025-03-06T23:30:00
北京,101010100,beijing,2025-03-05,星期三,很低,1,#81CB31,1.0,不易引发过敏反应。,花粉,北京,2025-03-06T07:34:19
北京,101010100,beijing,2025-03-04,星期二,很低,1,#81CB31,1.0,不易引发过敏反应。,花粉,北京,2025-03-05T05:30:00
北京,101010100,beijing,2025-03-03,星期一,很低,1,#81CB31,1.0,不易引发过敏反应。,花粉,北京,2025-03-04T05:30:00
北京,101010100,beijing,2025-03-02,星期日,很低,1,#81CB31,1.0,不易引发过敏反应。,花粉,北京,2025-03-03T06:30:00
北京,101010100,beijing,2025-03-01,星期六,很低,1,#81CB31,1.0,不易引发过敏反应。,花粉,北京,2025-03-02T06:30:00
北京,101010100,beijing,2025-02-28,星期五,暂无,-1,#C4A39F,1.0,,花粉,,2025-03-01T06:30:00
北京,101010100,beijing,2025-02-27,星期四,暂无,-1,#C4A39F,1.0,,花粉,,2025-02-28T06:30:00
北京,101010100,beijing,2025-02-26,星期三,暂无,-1,#C4A39F,1.0,,花粉,,2025-02-27T06:30:00
北京,101010100,beijing,2025-02-25,星期二,暂无,-1,#C4A39F,1.0,,花粉,,2025-02-26T06:30:00
北京,101010100,beijing,2025-02-24,星期一,暂无,-1,#C4A39F,1.0,,花粉,,2025-02-24T23:00:00
北京,101010100,beijing,2025-02-23,星期日,暂无,-1,#C4A39F,1.0,,花粉,,2025-02-23T23:00:00
北京,101010100,beijing,2025-02-22,星期六,暂无,-1,#C4A39F,1.0,,花粉,,2025-02-22T23:00:00
